,A,B,C,D
0,3.4603236672637316,0.7416820273803358,2.4619499896450376,2.718641639883396
1,-0.4966130241483746,-0.05449489092162163,-0.9716986896853619,0.557881866773247
2,1.3604913016493632,0.3600766013374175,0.2785077774980029,3.0004147003119455
3,1.0222848128110735,-0.47112389910250774,0.002162144192696364,1.4934087119135813
4,2.739879088162051,-0.661637453715268,-0.12719414993075495,3.401516541877319
5,0.9115400121920381,-0.2974863214415858,2.090242638526768,1.209026333633624
6,0.5839429963442002,0.3854830337154071,-0.3488631370357707,2.1984599626287933
7,-1.309611476700911,-0.26816359724884997,-0.772663010308383,-1.0414478794520612
8,2.7672340826673487,-0.2530478999542646,0.9414994205991125,3.020281982621613
9,0.7460890607057602,-0.0005273174019669313,-0.2383079670500902,2.746616378107727
10,-1.267212568272179,1.0618352225253491,-2.032351138245272,-2.329047790797528
11,-0.2832657928977975,-0.22525104511789928,0.6320646292935499,-0.058014747779898235
12,0.6898713339537345,-0.13048980926935783,-0.11479635745867604,0.8203611432230923
13,-0.8955965472913641,0.9846381002462711,-1.5498247527312614,0.11976535246236486
14,1.3328817730620721,0.4760614940039844,0.3638415173686672,0.8568202790580877
15,-3.092983614811032,0.6372051946574956,-0.8316639503601008,-2.730188809468528
16,0.4737104444082343,1.3622980075384048,0.26237160677834026,0.11141243686982949
17,1.6853700532334073,-0.5335301420967635,0.396750328440572,4.218900195330171
18,1.1337684434230038,1.6300348235556337,-0.09756966890751158,-0.4962663801326299
19,2.049027288273847,0.037530446592628386,0.9541616938667208,3.0114968416812187
20,2.3314364631500784,-0.6100696272900235,1.7237092465479942,4.941506090440102
21,-0.7016461828793726,-0.4743164051858221,-0.9644709289132462,-0.22732977769355056
22,1.90315931468946,0.19103274576019014,0.7618047803568262,1.71212656892927
23,2.399403312218305,-0.31461314793658934,-0.2872016644759096,2.714016460154894
24,0.8960472838893679,0.4724592420956227,-0.07128545864186499,1.4235880417937452
25,1.098315825872764,-0.5250641179371052,0.6421650140167307,2.6233799438098693
26,-0.07372871374761714,1.4077663625448988,-0.29856646798935227,-1.481495076292516
27,1.772862035526452,-0.6693509223815272,0.7461736352771865,4.442212957907979
28,0.6678241107628287,-0.4719980533656344,-0.3308830668065266,2.139822164128463
29,5.52971300081799,0.551761557773852,-1.100630846797665,4.977951443044138
30,1.3822279714186463,1.4577598827374048,0.33978993963415816,-0.07553191131875847
31,-0.9846816471710299,-0.0781146006824105,-0.939182599519372,1.0934329535113807
32,2.0137127091396563,0.5332801937998801,1.292808105545034,1.4804325153397762
